id,ref,name,longitude,latitude,altitude,country,wind_n,wind_ne,wind_e,wind_se,wind_s,wind_sw,wind_w,wind_nw,source,closed
1,pge:10001,Silveira Martins Sudeste,-53.466500,-29.640200,477,br,0,0,0,2,0,0,0,0,pge:10001,
2,pge:10002,Faxinal - Cerro Comprido W,-53.406600,-29.571200,505,br,0,0,0,0,0,2,2,0,pge:10002,
3,pge:10003,Lirquen,-72.975600,-36.703900,71,cl,0,0,0,0,1,2,2,0,pge:10003,
4,pge:10004,Cerro Mariposa (Ma. Luisa),-72.592900,-38.716500,282,cl,0,0,0,0,0,2,2,2,pge:10004,
5,pge:10005,San Ignacio,-73.399100,-39.838700,62,cl,0,0,0,0,0,2,2,2,pge:10005,
6,pge:10008,Sterksel,5.634940,51.344400,25,nl,1,1,1,1,1,1,1,1,pge:10008,
7,pge:10009,Skyline,-76.740800,18.030200,445,jm,0,0,1,2,2,2,1,0,pge:10009,
8,pge:10011,Cabeco da Neve - Caramulo,-8.179800,40.552700,831,pt,0,0,1,2,2,1,0,0,pge:10011,
9,pge:10012,Bell Mountain,-83.729500,34.959600,1010,us,1,0,0,0,0,2,2,2,pge:10012,
10,pge:10013,Pigeon Hill,-85.372900,34.652100,600,us,0,1,2,1,0,0,0,0,pge:10013,
11,pge:10014,Chilhowee Mountain,-84.622600,35.133900,679,us,0,0,0,0,0,0,2,0,pge:10014,
12,pge:10015,Chao da Lagoa,-16.914100,32.706400,1400,pt,0,0,0,2,2,2,0,0,pge:10015,
13,pge:10016,Tvangen,7.188610,61.325600,516,no,0,0,0,1,2,1,1,0,pge:10016,
14,pge:10017,"Barrosa, Lagoa - Sao Miguel",-25.492300,37.753000,871,pt,0,0,0,1,2,1,0,0,pge:10017,
15,pge:10018,Little Gap,-75.548100,40.807500,405,us,2,2,0,0,0,0,0,2,pge:10018,
16,pge:10019,Lauret : Puech de Dolgue,3.900900,43.839200,268,fr,0,0,0,2,2,1,0,0,pge:10019,
17,pge:10020,"Falesia Stª. Barbara, Ribeira Grande, Sao Miguel",-25.543900,37.817700,15,pt,2,1,0,0,0,0,0,1,pge:10020,
18,pge:10021,"Monte Verde, Falesia da Ribeira Grande - Sao Miguel",-25.528300,37.821500,10,pt,2,1,0,0,0,0,0,1,pge:10021,
19,pge:10022,"Pico das Freiras, Ribeira Grande - Sao Miguel",-25.650500,37.801000,187,pt,1,2,0,0,1,2,2,1,pge:10022,
20,pge:10023,"Monte Escuro, Ribeira Grande - Sao Miguel",-25.427500,37.791300,889,pt,2,2,1,0,0,0,0,1,pge:10023,
21,pge:10024,"Miradouro, Vila Franca do Campo - Sao Miguel",-25.438400,37.742700,675,pt,0,1,2,2,1,0,0,0,pge:10024,
22,pge:10025,"Sra da Paz, Vila Franca do Campo - Sao Miguel",-25.431000,37.728200,250,pt,0,0,1,1,2,2,0,0,pge:10025,
23,pge:10026,"Faial da Terra, Sao Miguel",-25.202400,37.742600,362,pt,0,0,1,2,2,1,0,0,pge:10026,
24,pge:10027,"Salto do Cavalo, Furnas- Sao Miguel",-25.305500,37.792100,602,pt,0,0,1,2,2,2,1,0,pge:10027,
